sku,name,variant,generation_id,api_credit_cost,file_path,profile,width,height,steps,alchemy,init_strength,modelId
OBC021232,alac Kruzok kacaci,pack,8a19af2f-9885-4209-9322-f7989455503c,12,D:\projekty\Lnardo\Lnardo\output\OBC021232_alac-kruzok-kacaci\OBC021232__pack.png,CHEAP,768,768,30,True,0.9,b24e16ff-06e3-43eb-8d33-4416c2d75876
OBC021232,alac Kruzok kacaci,piece,b6e731b4-9eae-4bc4-975b-5ea8ca17ddb1,12,D:\projekty\Lnardo\Lnardo\output\OBC021232_alac-kruzok-kacaci\OBC021232__piece.png,CHEAP,768,768,30,True,0.9,b24e16ff-06e3-43eb-8d33-4416c2d75876
